,ema_fast,ema_slow,rsi_long,rsi_short,total_return,cagr,sharpe,sortino,max_dd,profit_factor,trades
1,25,100,60,35,5410.73,95.11,1.4374,1.8062,-53.99,1.0508,84
2,8,200,65,40,4657.62,90.39,1.3955,1.7658,-56.71,1.0493,103
3,5,75,50,50,4441.19,88.92,1.3898,1.7358,-54.72,1.0498,20
4,5,200,70,40,4326.48,88.11,1.3746,1.741,-62.18,1.0485,153
5,25,100,60,30,4275.79,87.75,1.3715,1.7222,-54.1,1.0484,90
6,5,200,65,40,4032.61,85.97,1.3562,1.7144,-60.02,1.048,135
7,20,30,65,45,3903.45,84.99,1.3437,1.6946,-57.14,1.0473,77
8,5,200,60,40,3716.23,83.52,1.3335,1.6866,-56.75,1.0471,107
9,10,200,70,40,3431.77,81.16,1.3104,1.6547,-55.06,1.0462,87
10,10,200,65,40,3313.14,80.14,1.3006,1.6457,-57.79,1.0459,79
11,20,30,60,45,3257.9,79.65,1.2936,1.6294,-57.14,1.0455,75
12,8,200,70,40,2943.54,76.73,1.2678,1.6033,-55.9,1.0447,111
13,20,30,65,40,2837.83,75.69,1.2552,1.5872,-51.14,1.0441,231
14,25,150,60,40,2781.09,75.12,1.2535,1.5678,-55.78,1.0443,35
15,15,200,70,40,2774.8,75.05,1.2517,1.5756,-56.56,1.0441,63
16,20,50,65,40,2793.64,75.24,1.251,1.583,-58.51,1.044,138
17,12,100,55,45,2729.09,74.59,1.2471,1.5711,-55.35,1.0439,30
18,25,150,70,40,2681.86,74.1,1.2424,1.5531,-59.6,1.0438,57
19,20,50,70,40,2648.55,73.75,1.2364,1.5614,-58.51,1.0434,145
20,25,150,55,45,2534.95,72.53,1.2289,1.5331,-60.61,1.0436,8
21,20,30,70,40,2559.94,72.8,1.2268,1.5505,-52.51,1.0431,243
22,25,150,65,40,2532.1,72.5,1.2266,1.533,-61.38,1.0432,53
23,25,30,70,45,2546.26,72.65,1.2257,1.5414,-54.72,1.0431,81
24,5,150,65,40,2430.75,71.37,1.2146,1.536,-62.08,1.0427,153
25,20,30,70,45,2392.95,70.94,1.2088,1.5223,-57.14,1.0425,79
26,25,75,65,40,2375.0,70.74,1.2067,1.5225,-57.92,1.0424,81
27,25,30,65,45,2373.99,70.73,1.2066,1.5184,-54.72,1.0424,75
28,20,200,70,40,2289.64,69.74,1.1988,1.5146,-56.94,1.0422,51
29,15,200,60,45,2242.6,69.18,1.1941,1.5038,-57.42,1.0421,15
30,25,100,65,35,2190.37,68.54,1.1865,1.4867,-56.21,1.0417,115
31,25,30,65,40,2182.08,68.44,1.1835,1.4935,-55.16,1.0415,169
32,8,75,60,50,2141.95,67.95,1.1805,1.4833,-74.05,1.0415,19
33,10,50,70,45,2122.31,67.7,1.1757,1.4813,-60.03,1.0413,133
34,8,50,55,50,2014.56,66.32,1.162,1.4593,-61.01,1.0408,21
35,25,100,65,30,1978.72,65.84,1.1588,1.453,-56.31,1.0407,133
36,20,100,70,40,1960.02,65.59,1.1562,1.4507,-65.37,1.0406,77
37,10,200,65,45,1803.34,63.42,1.1339,1.4247,-60.0,1.0399,33
38,20,75,55,40,1763.54,62.85,1.1292,1.4173,-68.15,1.0399,33
39,20,100,65,40,1771.14,62.96,1.1287,1.4195,-65.37,1.0397,73
40,8,200,60,40,1751.98,62.68,1.1268,1.4155,-72.96,1.0397,73
41,8,150,70,40,1701.93,61.94,1.1177,1.4101,-63.57,1.0393,107
42,15,100,65,40,1699.25,61.9,1.1174,1.4056,-63.47,1.0393,101
43,15,200,70,35,1686.4,61.7,1.1156,1.403,-54.64,1.0392,96
44,15,200,70,45,1681.87,61.64,1.1151,1.402,-65.63,1.0392,19
45,15,200,65,45,1681.87,61.64,1.1151,1.402,-65.63,1.0392,19
46,25,30,70,40,1691.82,61.79,1.1145,1.4027,-56.11,1.0391,183
47,25,100,70,35,1657.65,61.27,1.1109,1.3905,-62.81,1.039,127
48,5,150,65,35,1645.98,61.09,1.1085,1.3959,-66.55,1.0389,204
49,8,200,65,45,1624.54,60.76,1.1057,1.39,-64.93,1.0389,51
50,12,100,70,40,1575.05,59.98,1.0969,1.3779,-60.69,1.0385,141
